,Tweets
51,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
52,"RT @TMSMpodcast: Kyler Murray gets his extension. 
Jimmy Garoppolo seeks a trade.
Matthew Stafford has a ring.
Drew Lock. Has a new team……"
53,RT @FOX5Atlanta: Arizona Cardinals defensive end J.J. Watt has graciously offered to help out a fan who said she was selling her shoes and…
54,RT @ClancysCorner: Please do NOT compare Kyler Murray to any other QB. Not only because he's got a different skillset than all other QBs in…
55,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
56,Arizona Cardinals defensive end J.J. Watt has graciously offered to help out a fan who said she was selling her sho… https://t.co/VxeBaUmBMv
57,"Source: Cards, QB Murray agree to $230.5M deal https://t.co/TPYQKU2KVh"
58,"RT @PropsUS: It's time to do a little line shopping, and @DaRealPapaBear has been clipping coupons. He's looking to land a middle on 9 Card…"
59,"RT @AdamSchefter: Cardinals are giving QB Kyler Murray a five-year extension that ties him to Arizona for six more years, per source."
60,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
61,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
62,"Source: Cards, QB Murray agree to $230.5M deal https://t.co/BMwCViluRE"
63,"Ridiculous. Source: Cards, QB Murray agree to $230.5M deal - via @ESPN App https://t.co/fYEpTTS6at"
64,RT @BoBrack: Nearly $100M at starting QB per average annual salary combined when the Arizona Cardinals host the Kansas City Chiefs in Week…
65,"RT @TMSMpodcast: Jimmy Garoppolo has permission to seek a trade. 

Where does he go? Is Trey Lance ready to start? 

Check out our analysis…"
66,"RT @TMSMpodcast: Kyler Murray gets his extension. 
Jimmy Garoppolo seeks a trade.
Matthew Stafford has a ring.
Drew Lock. Has a new team……"
67,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
68,"RT @PropsUS: It's time to do a little line shopping, and @DaRealPapaBear has been clipping coupons. He's looking to land a middle on 9 Card…"
69,"RT @PHNX_Sports: BREAKING NEWS: KYLER GOT PAID.

Kyler Murray and the Arizona Cardinals have agreed to a five-year, $230.5 million deal.

M…"
70,"It's time to do a little line shopping, and @DaRealPapaBear has been clipping coupons. He's looking to land a middl… https://t.co/dGiPULrCTj"
71,"RT @AdamSchefter: Cardinals are giving QB Kyler Murray a five-year extension that ties him to Arizona for six more years, per source."
72,"Source: Cards, QB Murray agree to $230.5M deal https://t.co/iAeQWHvqpz"
73,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
74,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
75,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
76,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
77,Why the Arizona Cardinals made Kyler Murray one of the NFL’s highest-paid players #ArizonaCardinals #Cardinals #AZ… https://t.co/XSpsZRWqzL
78,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
79,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
80,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
81,RT @JohnnyVenerable: Kyler Murray is the first drafted quarterback by the Arizona Cardinals to receive an extension since Jake Plummer in 1…
82,"RT @JohnnyVenerable: From the day he entered the organization, Kyler Murray has made the Arizona Cardinals better.

He’s improved every sea…"
83,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
84,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
85,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
86,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
87,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
88,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
89,"Arizona Cardinals
Angels Overs
Dodgers -1.5
Arizona Cardinals again https://t.co/Ko3VrdNqdp"
90,RT @RaiderMcKay: @espn @ESPNNFL @AdamSchefter Kyler Murray outside the Arizona Cardinals Stadium right now. https://t.co/tz7OIeAlVe
91,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
92,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
93,"RT @MySportsUpdate: The #Cardinals and QB Kyler Murray have reached agreement on a 5-year, $230.5M contract extension with $160M guaranteed…"
94,"Arizona Cardinals and QB Kyler Murray have agreed to a 5-year $230.5 million contract extension
@AZCardinals @K1 
https://t.co/s7yuwkRlxa"
95,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
96,"Arizona Cardinals Red Jersey

https://t.co/5gSTcPlHpN

#sponsored #arizonacardinals #nfl #arizona #cardinals… https://t.co/qd7DMomhQh"
97,"RT @AdamSchefter: Cardinals are giving QB Kyler Murray a five-year extension that ties him to Arizona for six more years, per source."
98,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
99,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
100,@DanJonCon It's like where the Arizona Cardinals play it's also a house of Horrors to Seattle sports fans.
101,"RT @SportsDayHS: Former Allen star Kyler Murray is now one of the highest-paid NFL players 💰

📲 https://t.co/CI3wgRC0NL

#txhsfb | #RiseUpR…"
102,RT @barstoolsports: Cue The Instagram Photos! Kyler Murray Finally Got His MASSIVE Contract Extension From The Arizona Cardinals https://t.…
103,"A sad situation was made a bit more bearable, thanks to Arizona Cardinals defensive end J.J. Watt https://t.co/JHbBwZDz5w"
104,RT @wfaa: BREAKING: @AZCardinals agree to contract extension with QB @K1 🏈 https://t.co/3Z254Uzznh
105,"8. Kyler Murray

📊 Detailed Stats: https://t.co/DrMRljOQCo
📰 News Related:
The Oklahoma Daily: OU football: Twitter… https://t.co/Q9dG7i7lgk"
106,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
107,"RT @TMSMpodcast: Kyler Murray gets his extension. 
Jimmy Garoppolo seeks a trade.
Matthew Stafford has a ring.
Drew Lock. Has a new team……"
108,RT @BadTakesSTL: The Cardinals acquired Paul F***ING Goldschmidt and Nolan GODD*NM Arenado and became Arizona and Colorado combined. #STLCa…
109,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
110,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
111,"RT @PatMcAfeeShow: BREAKING: The Arizona Cardinals &amp; Kyler Murray have agreed to terms on a contract extension

#PMSLive https://t.co/ADRLf…"
112,"At the 174th pick overall, I selected Darrel Williams, running back for the Arizona Cardinals. I don’t believe the… https://t.co/tVcpkQ9ycJ"
113,"RT @TMSMpodcast: Kyler Murray gets his extension. 
Jimmy Garoppolo seeks a trade.
Matthew Stafford has a ring.
Drew Lock. Has a new team……"
114,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
115,"RT @TMSMpodcast: Kyler Murray gets his extension. 
Jimmy Garoppolo seeks a trade.
Matthew Stafford has a ring.
Drew Lock. Has a new team……"
116,"Kyler Murray is reportedly becoming one of the NFL's highest-paid players. According to multiple reports, the Arizo… https://t.co/y0S7toYyCz"
117,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
118,"RT @TMSMpodcast: Jimmy Garoppolo has permission to seek a trade. 

Where does he go? Is Trey Lance ready to start? 

Check out our analysis…"
119,"RT @AdamSchefter: Cardinals are giving QB Kyler Murray a five-year extension that ties him to Arizona for six more years, per source."
120,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
121,"RT @TMSMpodcast: Who do YOU think is going to win the NFC West? 

A much less terrifying division than last year.

Can Kliff Kingsbury clos…"
122,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
123,"RT @TMSMpodcast: With adding Allen Robinson &amp; Bobby Wagner. It’s hard to pick against the champs. Right?

Can Trey Lance lead the Niners? I…"
124,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
125,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
